 counting stars;	campanile;	banana smoothie;	afternoon nap;	a good fit;	airport terminal;	archery;	absolute magnitude;	#VALUE!
;	;	;	;	;	;	;	stellar wind;	
;	;	;	;	;	;	;	supergiant;	
;	;	;	;	;	;	;	supernova remnant;	
;	;	;	;	;	;	;	telescope;	
;	;	;	;	;	;	;	ultraviolet;	
;	;	;	;	;	;	;	van allen belt;	
;	;	;	;	;	;	;	wavelength;	
;	;	;	;	;	;	;	zenith;	
								
								
								
								
								
								
								
								
								
								
								
